state,district,school,ap,type,total,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,Two or More Races,White
ALABAMA,Calhoun County,Weaver High Sch,Yes,ap,23,0,0,4,4,0,2,13
ALABAMA,Calhoun County,Weaver High Sch,Yes,total,558,2,7,109,22,2,4,412
ALABAMA,Calhoun County,Wellborn High Sch,Yes,ap,35,0,0,4,0,0,0,31
ALABAMA,Calhoun County,Wellborn High Sch,Yes,total,589,4,0,124,7,0,0,454
ALABAMA,Calhoun County,White Plains High Sch,Yes,ap,86,0,2,2,0,0,0,82
ALABAMA,Calhoun County,White Plains High Sch,Yes,total,431,4,2,25,13,2,0,385
ALABAMA,Chambers County,Lafayette High Sch,Yes,ap,2,0,0,2,0,0,0,0
ALABAMA,Chambers County,Lafayette High Sch,Yes,total,226,0,0,208,2,0,0,16
ALABAMA,Chambers County,Valley High Sch,Yes,ap,22,0,2,7,0,0,0,13
ALABAMA,Chambers County,Valley High Sch,Yes,total,769,2,5,289,13,0,0,460
ALABAMA,Cherokee County,Cedar Bluff High Sch,Yes,ap,4,0,0,0,0,0,0,4
ALABAMA,Cherokee County,Cedar Bluff High Sch,Yes,total,656,13,4,58,4,2,4,571
ALABAMA,Cherokee County,Cherokee Co High Sch,Yes,ap,57,10,2,2,0,0,0,43
ALABAMA,Cherokee County,Cherokee Co High Sch,Yes,total,474,40,4,40,4,0,4,382
ALABAMA,Cherokee County,Gaylesville High Sch,Yes,ap,4,0,0,0,0,0,0,4
ALABAMA,Cherokee County,Gaylesville High Sch,Yes,total,361,52,0,2,0,0,0,307
ALABAMA,Cherokee County,Sand Rock High Sch,No,total,778,91,0,0,19,2,2,664
ALABAMA,Cherokee County,Spring Garden High Sch,No,total,550,25,2,13,7,0,4,499
ALABAMA,Chickasaw City,Chickasaw City High School,Yes,ap,32,0,0,19,0,0,0,13
ALABAMA,Chickasaw City,Chickasaw City High School,Yes,total,509,2,0,364,16,0,0,127
ALABAMA,Chilton County,Chilton Co High Sch,Yes,ap,124,2,4,7,0,0,2,109
ALABAMA,Chilton County,Chilton Co High Sch,Yes,total,775,10,7,121,0,2,16,619
ALABAMA,Chilton County,Isabella High Sch,Yes,ap,2,0,0,0,0,0,0,2
ALABAMA,Chilton County,Isabella High Sch,Yes,total,658,0,2,43,64,0,2,547
ALABAMA,Chilton County,Jemison High Sch,Yes,ap,19,0,0,2,4,0,0,13
ALABAMA,Chilton County,Jemison High Sch,Yes,total,831,4,4,58,172,0,4,589
ALABAMA,Chilton County,Maplesville High Sch,Yes,ap,2,0,0,0,0,0,0,2
ALABAMA,Chilton County,Maplesville High Sch,Yes,total,464,7,4,103,0,0,4,346
ALABAMA,Chilton County,Thorsby High Sch,No,total,769,2,2,43,70,0,0,652
ALABAMA,Chilton County,Verbena High Sch,No,total,639,0,2,73,40,0,13,511
ALABAMA,Choctaw County Board of Education,Choctaw Co High Sch,No,total,368,2,0,298,0,2,2,64
ALABAMA,Choctaw County Board of Education,Southern Choctaw High Sch,No,total,362,2,0,175,0,2,2,181
ALABAMA,Clarke County,Clarke Co High Sch,No,total,380,4,0,262,2,0,0,112
ALABAMA,Clarke County,Jackson High Sch,Yes,ap,6,0,0,2,0,0,0,4
ALABAMA,Clarke County,Jackson High Sch,Yes,total,601,2,2,412,7,0,0,178
ALABAMA,Clay County,Central High School of Clay County,No,total,754,2,4,139,34,0,4,571
ALABAMA,Cleburne County,Cleburne Co High Sch,Yes,ap,69,0,0,4,4,0,0,61
ALABAMA,Cleburne County,Cleburne Co High Sch,Yes,total,631,0,0,37,22,0,7,565
ALABAMA,Cleburne County,Ranburne High Sch,Yes,ap,13,0,0,0,0,0,0,13
ALABAMA,Cleburne County,Ranburne High Sch,Yes,total,507,0,0,2,4,0,2,499
ALABAMA,Coffee County,Kinston Sch,No,total,550,10,4,5,16,0,16,499
ALABAMA,Coffee County,New Brockton High Sch,No,total,377,7,0,40,10,0,13,307
ALABAMA,Coffee County,Zion Chapel High Sch,No,total,746,16,2,16,10,2,0,700
ALABAMA,Colbert County,Cherokee High Sch,No,total,247,0,0,22,7,0,4,214
ALABAMA,Colbert County,Colbert Co High Sch,Yes,ap,44,2,0,4,2,0,2,34
ALABAMA,Colbert County,Colbert Co High Sch,Yes,total,420,2,4,115,28,2,7,262
ALABAMA,Colbert County,Colbert Heights High Sch,Yes,ap,54,0,0,2,0,0,0,52
ALABAMA,Colbert County,Colbert Heights High Sch,Yes,total,491,4,4,13,7,0,0,463
ALABAMA,Conecuh County,Hillcrest High Sch,No,total,394,2,0,364,2,0,4,22
ALABAMA,Coosa County,Central High Sch,No,total,315,2,4,142,7,0,0,160
ALABAMA,Covington County,Florala High Sch,No,total,244,2,0,31,0,0,0,211
ALABAMA,Covington County,Pleasant Home Sch,No,total,673,4,10,28,10,2,0,619
ALABAMA,Covington County,Red Level High Sch,No,total,317,0,0,31,2,0,10,274
ALABAMA,Covington County,Straughn High Sch,No,total,404,0,2,13,2,0,2,385
ALABAMA,Crenshaw County,Brantley High Sch,No,total,617,0,4,172,13,0,13,415
ALABAMA,Crenshaw County,Highland Home High Sch,No,total,770,2,0,187,25,0,0,556
ALABAMA,Crenshaw County,Luverne High Sch,No,total,871,2,16,346,7,0,16,484
ALABAMA,Cullman City,Cullman High Sch,Yes,ap,274,4,4,0,2,0,2,262
ALABAMA,Cullman City,Cullman High Sch,Yes,total,1004,7,10,10,64,2,10,901
ALABAMA,Cullman County,Cold Springs High Sch,No,total,273,2,0,2,4,0,0,265
ALABAMA,Cullman County,Cullman Child Dev Ctr,No,total,124,2,2,0,5,0,0,115
ALABAMA,Cullman County,Fairview High Sch,Yes,ap,95,4,0,2,7,0,0,82
ALABAMA,Cullman County,Fairview High Sch,Yes,total,584,7,2,7,40,2,0,526
